Value,Mandatory QA flags,Data quality flag,Cloud/Ocean Flag,Iterations,Atmospheric Opacity,MMD,Emissivity accuracy,LST accuracy
51141,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
51149,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",>0.02 (Poor performance),<1 K (Excellent performance)
51392,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51393,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51397,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51648,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51649,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51653,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51904,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51905,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
51909,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
52160,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
52161,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
52165,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
52173,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",>0.02 (Poor performance),<1 K (Excellent performance)
52416,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,">=3 (Warm, humid air; or cold land)","<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),<1 K (Excellent performance)
52672,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),<1 K (Excellent performance)
52677,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.2 - 0.3 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),<1 K (Excellent performance)
52928,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),<1 K (Excellent performance)
52933,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),<1 K (Excellent performance)
53184,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),<1 K (Excellent performance)
53189,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",>0.02 (Poor performance),<1 K (Excellent performance)
53952,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
53953,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
53957,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
54208,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
54209,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
54213,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
54221,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
54976,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
54977,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
54981,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
55232,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
55233,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
55237,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
55245,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
56000,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
56001,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
56005,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
56256,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
56257,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
56261,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
56269,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
57024,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
57029,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
57280,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
57285,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.015 - 0.02 (Marginal performance),<1 K (Excellent performance)
58048,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.01 - 0.015 (Good performance),<1 K (Excellent performance)
58049,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.01 - 0.015 (Good performance),<1 K (Excellent performance)
58053,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),>0.15 (Most silicate rocks),0.01 - 0.015 (Good performance),<1 K (Excellent performance)
58304,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.01 - 0.015 (Good performance),<1 K (Excellent performance)
58305,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.01 - 0.015 (Good performance),<1 K (Excellent performance)
58309,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.01 - 0.015 (Good performance),<1 K (Excellent performance)
58317,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing/bad L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)",>0.15 (Most silicate rocks),0.01 - 0.015 (Good performance),<1 K (Excellent performance)
59072,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
59073,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
59077,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.1 - 0.15 (Rocks, sand, some soils)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
59328,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
59329,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
59333,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.1 - 0.15 (Rocks, sand, some soils)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
60096,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
60097,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
60101,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
60352,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
60353,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
60357,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","0.03 - 0.1 (Mostly soils, mixed pixel)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
61120,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,0.1 - 0.2 (Nominal value),"<0.03 (Vegetation, snow, water, ice)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
61376,Pixel produced by TES (Use cloud layer to filter cloudy pixels and select best quality),Good quality L1B data,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
61381,Pixel produced by TES but certain conditions are met that may degrade the LSTE accuracy 00 Pixel produced by TES  (Use cloud layer to filter cloudy pixels and select best quality),Missing stripe pixel in bands 1 and 5,Not set. Please check ECOSTRESS GEO and CLOUD products for this information.,Fast,"<0.1 (Dry, or high altitude pixel)","<0.03 (Vegetation, snow, water, ice)",0.01 - 0.015 (Good performance),<1 K (Excellent performance)
